"pi.est","pi.est.se","pi.est.05","pi.est.95","N","Diff"
3.12615384615385,0.0289921873550201,3.06932915893801,3.18297853336969,3250,0.0154388074359471
3.17333333333333,0.0281946098915383,3.11807189794592,3.22859476872075,3300,0.0317406797435402
3.15701492537313,0.0281855073506946,3.10177133096577,3.2122585197805,3350,0.0154222717833412
3.11176470588235,0.0285120162426627,3.05588115404673,3.16764825771797,3400,0.0298279477074401
3.19188405797101,0.0273432947155216,3.13829120032859,3.24547691561344,3450,0.0502914043812215
3.13028571428571,0.0278898558316288,3.07562159685572,3.18494983171571,3500,0.0113069393040788
3.1312676056338,0.0276814556547737,3.07701195255045,3.18552325871716,3550,0.0103250479559902
3.08,0.0280555005500011,3.025011218922,3.134988781078,3600,0.061592653589793
3.14082191780822,0.0271904765350855,3.08752858379945,3.19411525181699,3650,0.00077073578157405
3.10594594594595,0.0273954206305702,3.05225092151003,3.15964097038186,3700,0.0356467076438474
